cotizacion_codigo,centro_costos,rq_codigo,cliente,unidad,solicitante,fecha_rq,tipo_principal,estado,descripcion_resumen,cantidad_items,origen,observaciones,prioridad
FOR-EKA-PRO-3_2022-123,4515388534,RQ-CJM30-(001-002)_2023,NEXA,REFINERIA CAJAMARQUILLA,,2023-12-23,MATERIALES,ATENCION COMPLETA,MATERIALES (4515388534 RQ-CJM30-(001-002)_2022),2,excel,,
FOR-EKA-PRO-3_2022-123,4515388534,RQ-CJM30-003_2023,NEXA,REFINERIA CAJAMARQUILLA,,2024-02-07,HERRAMIENTAS,ATENCION COMPLETA,"DESTORNILLADOR DIELECTRICO AISLADO PLANO 7/32"" X 5"" (5.5X125MM) - STANLEY",35,excel,,
FOR-EKA-PRO-3_2022-123,4515388534,RQ-CJM30-004_2023,NEXA,REFINERIA CAJAMARQUILLA,,2023-12-07,MATERIALES,ATENCION COMPLETA,PINTURA EPOXICA GRIS CLARO RAL-7035-K7 (CATALIZADOR+SOLVENTE+ ESMALTE),14,excel,,
FOR-EKA-PRO-3_2022-123,4515388534,RQ-CJM30-005_2023,NEXA,REFINERIA CAJAMARQUILLA,,2024-02-09,MATERIALES,PENDIENTE,SPRAY AFLOJATODO WD40,67,excel,,
FOR-EKA-PRO-3_2022-123,4515388534,RQ-CJM30-006_2023,NEXA,REFINERIA CAJAMARQUILLA,,2024-03-14,CONSUMIBLES,ATENCION COMPLETA,MARCADOR DE METAL ROJO,9,excel,,
FOR-EKA-PRO-3_2022-123,4515388534,RQ-CJM30-007_2024,NEXA,REFINERIA CAJAMARQUILLA,,2024-05-05,MATERIALES,ATENCION COMPLETA,PINTURA EN SPRAY -  AMARILLO,7,excel,,
FOR-EKA-PRO-3_2022-123,4515388534,RQ-CJM30-008_2024,NEXA,REFINERIA CAJAMARQUILLA,,2024-07-29,MATERIALES,PENDIENTE,BOCINAS CONICAS NYLON DE 8MM X 6MM,1,excel,,
FOR-EKA-PRO-3_2023-237,4400020802,RQ-UMSR-2401-02,MINSUR,U.M. SAN RAFAEL,,2024-08-22,GASTOS GENERALES,ATENCION COMPLETA,Archivador grande,47,excel,,
FOR-EKA-PRO-3_2023-237,4400020802,RQ-UMSR-2401-03,MINSUR,U.M. SAN RAFAEL,,2024-08-22,EPPs,ATENCION COMPLETA,LENTE OSCURO VIRTUA - 3M,20,excel,,
FOR-EKA-PRO-3_2023-237,4400020802,RQ-UMSR-2401-04,MINSUR,U.M. SAN RAFAEL,,2024-09-06,EPPs,ATENCION COMPLETA,LENTES GOOGLE,29,excel,,
FOR-EKA-PRO-3_2023-237,4400020802,RQ-UMSR-2401-05,MINSUR,U.M. SAN RAFAEL,,2024-09-12,GASTOS GENERALES,ATENCION COMPLETA,Papel Bond A4,12,excel,,
FOR-EKA-PRO-3_2023-237,4400020802,RQ-UMSR-2401-06,MINSUR,U.M. SAN RAFAEL,,2024-09-14,SUB CONTRATOS,PENDIENTE,TORRE DE DOS CUERPOS 2 X 0.70 M CON RIN DE 1 M,36,excel,,
FOR-EKA-PRO-3_2023-237,4400020802,RQ-UMSR-2401-07,MINSUR,U.M. SAN RAFAEL,,2024-09-19,CONSUMIBLES,PENDIENTE,SOLDADURA SUPERCITO 7018,21,excel,,
FOR-EKA-PRO-3_2023-237,4400020802,RQ-UMSR-2401-08,MINSUR,U.M. SAN RAFAEL,,2024-09-23,MATERIALES,PENDIENTE,BARRAS COLECTORAS DE COBRE DE 600 X 120 X 10 MM,109,excel,,
